Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPAE-5.3x5.3h3,1,22u,
"C10, C12, C13, C19, C30, C31",CAP_0805_C10,6,0.1u,
C11,CAP_0805_C11,1,0.1u,
C14,CAP_0805_C14,1,0.47u,
"C15, C17",CAP_0805_C10,2,22p,
"C16, C18",CAP_0805,2,22p,
C2,CAPAE-5.3x5.3h3_C2,1,22u,
"C20, C21, C34, C35, C5, C8, C9",CAP_0805,7,0.1u,
"C22, C25, C26, C27",CAP_0805_C10,4,330p,
C23,CAP_0805_C23,1,1u,
C24,CAPAE-4.3x4.3h5.4_C24,1,10u,
C28,CAP_0805,1,1u,
C29,CAP_0805,1,0.47u,
C3,CAP_1206,1,10u,
C32,CAP_0805_C32,1,0.1u,
C33,CAP_0805_C33,1,0.47u,
C4,CAP_1206_C4,1,10u,
C6,CAP_0805_C6,1,0.1u,
C7,CAPAE-4.3x4.3h5.4,1,10u,
D7,SOP-4_6.5x2.54,1,MB1S,
"E1, E2",PEC11,2,PEC11,
IC6,TO252,1,LM1117-5,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",Thonkiconn_Jack,12,THONKICONN,
JP1,AVR_ICSP,1,M05X2PTH,
L1,RES_1210,1,10uH,
"PAD1, PAD2",Pad,2,PAD,
Q1,SOT23,1,MMBT3904,
"Q2, Q3",SOT23_Q2,2,MMBT3904,
Q4,SOT23_Q4,1,MMBT3904,
"R1, R7",RES_0805,2,24k9,
"R10, R12, R6",RES_0805_R2,3,220,
"R11, R17, R19, R5, R53",RES_0805,5,100k,
"R13, R14",RES_0805_R2,2,47k,
R15,RES_0805_R15,1,100k,
R16,RES_0805_R16,1,33k,
"R18, R20",RES_0805,2,33k,
"R2, R8",RES_0805_R2,2,24k9,
"R21, R23, R27, R3, R9",RES_0805_R2,5,100k,
"R22, R24, R28, R32, R36",RES_0805_R2,5,33k,
"R25, R29",RES_0805_R2,2,100,
"R26, R34",RES_0805,2,75k,
"R30, R38",RES_0805_R2,2,75k,
R31,RES_0805_R31,1,100k,
"R33, R37",RES_0805_R31,2,100,
R35,RES_0805_R35,1,100k,
R39,RES_0805_R2,1,2k,
R4,RES_0805,1,220,
R40,RES_0805_R40,1,510,
R41,RES_0805,1,510,
R42,RES_0805_R16,1,10k,
R60,R1206,1,4.7,
RESET0,Round-Round,1,RESET,
U1,Teensy3.1_edge,1,TEENSY 3.1_EDGE,
U10,SOIC-8_150mil_U10,1,MCP6002,
U11,1306_disp_O_C,1,1306_DISP_O_C,
U12,SOT23_Q4,1,MIC803,
U2,TSSOP-16,1,DAC8565,
"U3, U4",SOIC-8_150mil,2,OPA2172,
U5,SOIC-8_150mil,1,MCP6002,
U6,SOT23_U6,1,LM4040_EM3-5.0,
U7,SOT23-5,1,ADP150 3.3V,
U8,TL1105SP,1,6MM TACTILE SW,
U9,TL1105SP_U9,1,6MM TACTILE SW,
